
Total Cities of State	119
All Cities of Sindh
City No.	City Name	Latitude	Longitude
1	Adilpur	27.93677000	69.31941000
2	Badin	24.65600000	68.83700000
3	Bagarji	27.75431000	68.75866000
4	Bandhi	26.58761000	68.30215000
5	Berani	25.78497000	68.80754000
6	Bhan	26.55831000	67.72139000
7	Bhiria	26.91041000	68.19466000
8	Bhit Shah	25.80565000	68.49143000
9	Bozdar Wada	27.18300000	68.63580000
10	Bulri	24.86667000	68.33333000
11	Chak	27.85838000	68.83378000
12	Chamber	25.29362000	68.81176000
13	Chhor	25.51260000	69.78437000
14	Chuhar Jamali	24.39440000	67.99298000
15	Dadu	26.73033000	67.77690000
16	Daromehar	24.79382000	68.17978000
17	Darya Khan Marri	26.67765000	68.28666000
18	Daulatpur	26.50158000	67.97079000
19	Daur	26.45528000	68.31835000
20	Dhoro Naro	25.50484000	69.57090000
21	Digri	25.15657000	69.11098000
22	Diplo	24.46688000	69.58114000
23	Dokri	27.37421000	68.09715000
24	Gambat	27.35170000	68.52150000
25	Garhiyasin	27.90631000	68.51210000
26	Gharo	24.74182000	67.58534000
27	Ghauspur	28.13882000	69.08245000
28	Ghotki	28.00437000	69.31569000
29	Goth Garelo	27.43521000	68.07572000
30	Goth Phulji	26.88099000	67.68239000
31	Goth Radhan	27.19846000	67.95348000
32	Hala	25.81459000	68.42198000
33	Hingorja	27.21088000	68.41598000
34	Hyderabad	25.39242000	68.37366000
35	Islamkot	24.69904000	70.17982000
36	Jacobabad	28.28187000	68.43761000
37	Jamshoro	25.43608000	68.28017000
38	Jati	24.35492000	68.26732000
39	Jām Sāhib	26.29583000	68.62917000
40	Jhol	25.95533000	68.88871000
41	Johi	26.69225000	67.61431000
42	Kadhan	24.48041000	68.98551000
43	Kambar	27.58753000	68.00066000
44	Kandhkot	28.24574000	69.17974000
45	Kandiari	26.91550000	68.52193000
46	Kandiaro	27.05918000	68.21022000
47	Karachi	24.86080000	67.01040000
48	Karaundi	26.89709000	68.40643000
49	Kario Ghanwar	24.80817000	68.60483000
50	Kashmor	28.43260000	69.58364000
51	Keti Bandar	24.14422000	67.45094000
52	Khadro	26.14713000	68.71777000
53	Khairpur	28.06437000	69.70363000
54	Khairpur Mir’s	27.52948000	68.75915000
55	Khairpur Nathan Shah	27.09064000	67.73489000
56	Khanpur Mahar	27.84088000	69.41302000
57	Kot Diji	27.34156000	68.70821000
58	Kotri	25.36566000	68.30831000
59	Kunri	25.17874000	69.56572000
60	Lakhi	27.84884000	68.69972000
61	Larkana	27.55898000	68.21204000
62	Madeji	27.75314000	68.45166000
63	Malir Cantonment	24.94343000	67.20591000
64	Matiari	25.59709000	68.44670000
65	Matli	25.04290000	68.65591000
66	Mehar	27.18027000	67.82051000
67	Miro Khan	27.75985000	68.09195000
68	Mirpur Bhtoro	24.72852000	68.26010000
69	Mirpur Khas	25.52760000	69.01255000
70	Mirpur Mathelo	28.02136000	69.54914000
71	Mirpur Sakro	24.54692000	67.62797000
72	Mirwah Gorchani	25.30981000	69.05019000
73	Mithi	24.73701000	69.79707000
74	Moro	26.66317000	68.00016000
75	Nabisar	25.06717000	69.64340000
76	Nasirabad	27.38137000	67.91644000
77	Naudero	27.66684000	68.36090000
78	Naukot	24.85822000	69.40153000
79	Naushahro Firoz	26.84010000	68.12265000
80	Nawabshah	26.23939000	68.40369000
81	New Bādāh	27.34167000	68.03194000
82	Pad Idan	26.77455000	68.30094000
83	Pano Aqil	27.85619000	69.11111000
84	Pir Jo Goth	27.59178000	68.61848000
85	Pithoro	25.51122000	69.37803000
86	Rajo Khanani	24.98391000	68.85370000
87	Ranipur	27.28720000	68.50623000
88	Ratodero	27.80227000	68.28902000
89	Rohri	27.69203000	68.89503000
90	Rustam	27.96705000	68.80386000
91	Sakrand	26.13845000	68.27444000
92	Samaro	25.28143000	69.39623000
93	Sanghar	26.04694000	68.94917000
94	Sann	26.04030000	68.13763000
95	Sīta Road	27.03333000	67.85000000
96	Sehwan	26.42495000	67.86126000
97	Setharja Old	27.21270000	68.46883000
98	Shahdad Kot	27.84726000	67.90679000
99	Shahdadpur	25.92539000	68.62280000
100	Shahpur Chakar	26.15411000	68.65013000
101	Shikarpur	27.95558000	68.63823000
102	Sinjhoro	26.03008000	68.80867000
103	Sobhodero	27.30475000	68.39715000
104	Sukkur	27.70323000	68.85889000
105	Talhar	24.88454000	68.81437000
106	Tando Adam	25.76818000	68.66196000
107	Tando Allahyar	25.46050000	68.71745000
108	Tando Bago	24.78914000	68.96535000
109	Tando Jam	25.42813000	68.52923000
110	Tando Mitha Khan	25.99625000	69.20251000
111	Tando Muhammad Khan	25.12384000	68.53677000
112	Tangwani	28.27886000	68.99760000
113	Tharu Shah	26.94230000	68.11759000
114	Thatta	24.74745000	67.92353000
115	Thul	28.24030000	68.77550000
116	Ubauro	28.16429000	69.73114000
117	Umarkot	25.36329000	69.74184000
118	Umerkot District	25.37000000	69.73000000
119	Warah	27.44805000	67.79654000
